chembl_id,molregno,iupac_name,smiles,molecular_weight,aLogP,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_logp,cx_logd,molecular_species,qed_weighted,np_likeness_score,ic50_value,ic50_units,standard_relation,target_name,target_type,cell_description,disease_name,disease_category,mechanism_of_action,action_type,warning_type,warning_description,IUPACName
CHEMBL2326909,1521103,,COC1[N+]([O-])=C(/C=C/c2ccc3ccc4cccc5ccc2c3c45)CC1(C)C,369.46,5.95,2,0,35.3,3,N,1,2.84,4.87,ACID,0.25,0.31,50000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-methoxy-3,3-dimethyl-1-oxido-5-[(E)-2-pyren-1-ylethenyl]-2,4-dihydropyrrol-1-ium"
CHEMBL2326910,1521104,,CCOC1[N+]([O-])=C(/C=C/c2ccc3ccc4cccc5ccc2c3c45)CC1(C)C,383.49,6.34,2,0,35.3,4,N,1,3.2,5.22,ACID,0.23,0.23,10000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-ethoxy-3,3-dimethyl-1-oxido-5-[(E)-2-pyren-1-ylethenyl]-2,4-dihydropyrrol-1-ium"
CHEMBL2326911,1521105,,CC1(C)CC(/C=C/c2ccc3ccc4cccc5ccc2c3c45)=[N+]([O-])C1OCCO,399.49,5.31,3,1,55.53,5,N,1,2.15,4.18,ACID,0.28,0.41,25000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-[[3,3-dimethyl-1-oxido-5-[(E)-2-pyren-1-ylethenyl]-2,4-dihydropyrrol-1-ium-2-yl]oxy]ethanol"
CHEMBL2326912,1521106,,CC1(C)CC(/C=C/c2ccc3ccc4cccc5ccc2c3c45)=[N+]([O-])C1OCCCO,413.52,5.7,3,1,55.53,6,N,1,2.21,4.24,ACID,0.19,0.44,10900,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"3-[[3,3-dimethyl-1-oxido-5-[(E)-2-pyren-1-ylethenyl]-2,4-dihydropyrrol-1-ium-2-yl]oxy]propan-1-ol"
CHEMBL2326913,1521107,,COCCOC1[N+]([O-])=C(/C=C/c2ccc3ccc4cccc5ccc2c3c45)CC1(C)C,413.52,5.97,3,0,44.53,6,N,1,2.8,4.82,ACID,0.17,0.14,20000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-(2-methoxyethoxy)-3,3-dimethyl-1-oxido-5-[(E)-2-pyren-1-ylethenyl]-2,4-dihydropyrrol-1-ium"
CHEMBL2326914,1521108,,CC1(C)CC(/C=C/c2ccc3ccc4cccc5ccc2c3c45)=[N+]([O-])C1OCCOCCO,443.54,5.33,4,1,64.76,8,N,1,2.11,4.13,ACID,0.17,0.24,20000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-[2-[[3,3-dimethyl-1-oxido-5-[(E)-2-pyren-1-ylethenyl]-2,4-dihydropyrrol-1-ium-2-yl]oxy]ethoxy]ethanol"
CHEMBL2326915,1521109,,CC1(C)CC(/C=C/c2ccc3ccc4cccc5ccc2c3c45)=[N+]([O-])C1OCCN(CCO)CCO,486.61,4.61,5,2,79,10,N,0,0.39,2.51,ACID,0.19,-0.04,9600,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-[2-[[3,3-dimethyl-1-oxido-5-[(E)-2-pyren-1-ylethenyl]-2,4-dihydropyrrol-1-ium-2-yl]oxy]ethyl-(2-hydroxyethyl)amino]ethanol"
CHEMBL2326916,1521110,,CC1(C)CC(/C=C/c2ccc3ccc4cccc5ccc2c3c45)=[N+]([O-])C1OCc1ccco1,435.52,7.11,3,0,48.44,5,N,1,3.63,5.65,ACID,0.17,-0.02,20000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-(furan-2-ylmethoxy)-3,3-dimethyl-1-oxido-5-[(E)-2-pyren-1-ylethenyl]-2,4-dihydropyrrol-1-ium"
CHEMBL2326917,1521111,,CC(=O)NCCOC1[N+]([O-])=C(/C=C/c2ccc3ccc4cccc5ccc2c3c45)CC1(C)C,440.54,5.46,3,1,64.4,6,N,1,1.86,3.89,ACID,0.19,-0.05,20000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"N-[2-[[3,3-dimethyl-1-oxido-5-[(E)-2-pyren-1-ylethenyl]-2,4-dihydropyrrol-1-ium-2-yl]oxy]ethyl]acetamide"
CHEMBL2331656,1521277,,Cc1c(O)c2c(c(O)c1CO[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1)C(=O)c1ccccc1C2=O,413.43,1.52,8,4,139.31,3,N,0,2.54,1.75,BASE,0.47,1.35,17200,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-[[(2R,4S,5R,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxymethyl]-1,4-dihydroxy-3-methylanthracene-9,10-dione"
CHEMBL2331680,1521302,RG-7603,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(C2COC2)C3)cc1,452.56,2.27,7,2,91.85,5,N,0,2.88,2.87,NEUTRAL,0.72,-1.28,5.8,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),"Lymphoma, Non-Hodgkin",non-Hodgkins lymphoma,Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,,,"1-ethyl-3-[4-[4-[(3S)-3-methylmorpholin-4-yl]-7-(oxetan-3-yl)-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-2-yl]phenyl]urea"
CHEMBL2332012,1521637,,CC[C@H](C)[C@@H]([C@@H](CC(=O)NC[C@H]1O[C@H](C(=O)NCCc2ccccc2)[C@@H](OC)[C@@H]1OC)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,705.94,1.92,9,4,156.56,21,N,1,2.61,1.1,BASE,0.15,0.36,15,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S,3S,4R,5R)-3,4-dimethoxy-5-[[[(3R,4S,5S)-3-methoxy-5-methyl-4-[methyl-[(2S)-3-methyl-2-[[(2S)-3-methyl-2-(methylamino)butanoyl]amino]butanoyl]amino]heptanoyl]amino]methyl]-N-(2-phenylethyl)oxolane-2-carboxamide"
CHEMBL2332017,1521642,,COC(=O)c1sc2ccccc2c1Nc1cc(OC)c(OC)c(OC)c1,373.43,4.46,7,1,66.02,6,N,0,5.25,5.25,NEUTRAL,0.64,-0.94,795,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332018,1521643,,CCOC(=O)c1sc2ccccc2c1Nc1cc(OC)c(OC)c(OC)c1,387.46,4.85,7,1,66.02,7,N,0,5.61,5.61,NEUTRAL,0.58,-1.02,6391,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"ethyl 3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332019,1521644,,COC(=O)c1sc2cccc(C)c2c1Nc1cc(OC)c(OC)c(OC)c1,387.46,4.77,7,1,66.02,6,N,0,5.77,5.77,NEUTRAL,0.62,-0.88,8192,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 4-methyl-3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332020,1521645,,CCOC(=O)c1sc2cccc(C)c2c1Nc1cc(OC)c(OC)c(OC)c1,401.48,5.16,7,1,66.02,7,N,1,6.12,6.12,NEUTRAL,0.55,-0.96,4153,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"ethyl 4-methyl-3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332021,1521646,,COC(=O)c1sc2ccc(C)cc2c1Nc1cc(OC)c(OC)c(OC)c1,387.46,4.77,7,1,66.02,6,N,0,5.77,5.77,NEUTRAL,0.62,-0.98,540,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 5-methyl-3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332022,1521647,,COC(=O)c1sc2cc(C)ccc2c1Nc1cc(OC)c(OC)c(OC)c1,387.46,4.77,7,1,66.02,6,N,0,5.77,5.77,NEUTRAL,0.62,-0.95,1.2,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 6-methyl-3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332023,1521648,,CCOC(=O)c1sc2cc(C)ccc2c1Nc1cc(OC)c(OC)c(OC)c1,401.48,5.16,7,1,66.02,7,N,1,6.12,6.12,NEUTRAL,0.55,-1.02,9,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"ethyl 6-methyl-3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332024,1521649,,COC(=O)c1sc2c(C)cccc2c1Nc1cc(OC)c(OC)c(OC)c1,387.46,4.77,7,1,66.02,6,N,0,5.77,5.77,NEUTRAL,0.62,-0.82,4548,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 7-methyl-3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332025,1521650,,COC(=O)c1sc2cc(OC)ccc2c1Nc1cc(OC)c(OC)c(OC)c1,403.46,4.47,8,1,75.25,7,N,0,5.09,5.09,NEUTRAL,0.58,-0.84,0.7,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 6-methoxy-3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332026,1521651,,CCOC(=O)c1sc2cc(OC)ccc2c1Nc1cc(OC)c(OC)c(OC)c1,417.48,4.86,8,1,75.25,8,N,0,5.45,5.45,NEUTRAL,0.52,-0.92,5.6,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"ethyl 6-methoxy-3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332027,1521652,,CCOC(=O)c1sc2c(OC)c(C)c(C)c(C)c2c1Nc1cc(OC)c(OC)c(OC)c1,459.56,5.78,8,1,75.25,8,N,1,6.99,6.99,NEUTRAL,0.43,-0.63,95,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"ethyl 7-methoxy-4,5,6-trimethyl-3-(3,4,5-trimethoxyanilino)-1-benzothiophene-2-carboxylate"
CHEMBL2332028,1521653,,COC(=O)c1sc2ncccc2c1Nc1cc(OC)c(OC)c(OC)c1,374.42,3.85,8,1,78.91,6,N,0,4.4,4.4,NEUTRAL,0.66,-1.15,2644,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 3-(3,4,5-trimethoxyanilino)thieno[2,3-b]pyridine-2-carboxylate"
CHEMBL2332029,1521654,,CCOC(=O)c1sc2ncccc2c1Nc1cc(OC)c(OC)c(OC)c1,388.45,4.24,8,1,78.91,7,N,0,4.76,4.76,NEUTRAL,0.61,-1.22,5275,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"ethyl 3-(3,4,5-trimethoxyanilino)thieno[2,3-b]pyridine-2-carboxylate"
CHEMBL2332030,1521655,,COC(=O)c1sc2nc(C)ccc2c1Nc1cc(OC)c(OC)c(OC)c1,388.45,4.16,8,1,78.91,6,N,0,4.53,4.53,NEUTRAL,0.64,-1.13,0.53,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 6-methyl-3-(3,4,5-trimethoxyanilino)thieno[2,3-b]pyridine-2-carboxylate"
CHEMBL2332132,1521758,SECAUBRYOLIDE,C=C1C(=O)O[C@@H]2C[C@@H]3[C@]4(CC[C@]5(C)[C@@H]([C@H](C)CC(=O)C=C(C)C)CC[C@@]35C)C[C@]4(CCC(=O)OC)[C@H]12,496.69,6.21,5,0,69.67,7,N,1,5.83,5.83,NEUTRAL,0.31,3.26,52000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 3-[(1S,3R,4R,8R,10S,11S,14R,15R)-11,15-dimethyl-5-methylidene-14-[(2R)-6-methyl-4-oxohept-5-en-2-yl]-6-oxo-7-oxapentacyclo[8.7.0.01,3.04,8.011,15]heptadecan-3-yl]propanoate"
CHEMBL2332224,1521851,ALBATRELIN F,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC12C(=O)C=C(C)C(=O)C1(O)Oc1c3c(c(O)c(C)c12)O[C@](C)(CC/C=C(\C)CCC=C(C)C)C=C3,682.94,10.56,6,2,93.06,14,N,2,11.95,11.94,NEUTRAL,0.19,2.43,40000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(3R)-3-[(3E)-4,8-dimethylnona-3,7-dienyl]-5,10a-dihydroxy-3,6,9-trimethyl-6b-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]-[1]benzofuro[2,3-f]chromene-7,10-dione"
CHEMBL2332225,1521852,ALBATRELIN E,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC1=C(O)C(=O)C(C)=C(c2c(O)cc(O)c(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)c2C)C1=O,668.96,11.91,5,3,94.83,17,N,2,12.45,10.71,ACID,0.11,1.48,40000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"4-[4,6-dihydroxy-2-methyl-3-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]phenyl]-5-hydroxy-3-methyl-6-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]cyclohexa-3,5-diene-1,2-dione"
CHEMBL2332226,1521853,ALBATRELIN D,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)c2c1oc1c3c(c(O)c(C)c12)O[C@](C)(CC/C=C(\C)CCC=C(C)C)C=C3,650.94,13.21,4,2,62.83,14,N,2,12.92,12.9,NEUTRAL,0.17,2.21,40000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(3R)-3-[(3E)-4,8-dimethylnona-3,7-dienyl]-3,6,7-trimethyl-10-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]-[1]benzofuro[2,3-f]chromene-5,9-diol"
CHEMBL2332227,1521854,ALBATRELIN C,CC(C)=CCC/C(C)=C/CC[C@]1(C)C=Cc2c(C)cc(O)cc2O1,326.48,6.34,2,1,29.46,6,N,1,6.48,6.48,NEUTRAL,0.62,3.21,40000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2R)-2-[(3E)-4,8-dimethylnona-3,7-dienyl]-2,5-dimethylchromen-7-ol"
CHEMBL2332228,1521855,ALBATRELIN A,COC(=O)c1c(O)cc(O)c(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1C,386.53,6.15,4,2,66.76,9,N,1,7.58,7.55,NEUTRAL,0.39,1.62,40000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"methyl 4,6-dihydroxy-2-methyl-3-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]benzoate"
CHEMBL2332229,1521856,ALBATRELIN B,COc1cc(C)c(O)c2c1C=C[C@@](C)(CC/C=C(\C)CCC=C(C)C)O2,356.51,6.35,3,1,38.69,7,N,1,6.32,6.32,NEUTRAL,0.58,3,40000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2R)-2-[(3E)-4,8-dimethylnona-3,7-dienyl]-5-methoxy-2,7-dimethylchromen-8-ol"
CHEMBL2332427,1522056,ZEDOARONDIOL,CC(C)=C1C[C@H]2[C@@H](CC[C@]2(C)O)[C@](C)(O)CC1=O,252.35,2.21,3,2,57.53,0,Y,0,1.67,1.67,NEUTRAL,0.65,2.64,50,ug.mL-1,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(3S,3aS,8R,8aR)-3,8-dihydroxy-3,8-dimethyl-5-propan-2-ylidene-1,2,3a,4,7,8a-hexahydroazulen-6-one"
CHEMBL2332643,1522274,,C[C@@H]1C2=C[C@H]3[C@@H](C[C@@]2(C)CC[C@@H]1O)OC(=O)[C@@H]3C,250.34,2.29,3,1,46.53,0,Y,0,1.85,1.85,NEUTRAL,0.53,3.03,50000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(3R,3aR,5R,6S,8aR,9aR)-6-hydroxy-3,5,8a-trimethyl-3,3a,5,6,7,8,9,9a-octahydrobenzo[f][1]benzofuran-2-one"
CHEMBL2332840,1522473,,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,448.79,5.46,5,3,104.82,4,N,1,4.46,4.42,NEUTRAL,0.38,-1.93,10000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"1-[4-chloro-3-(trifluoromethyl)phenyl]-3-[4-(1H-pyrazolo[3,4-d]pyrimidin-4-yloxy)phenyl]urea"
CHEMBL2332985,1522620,2-METHOXYANTHRAQUINONE,COc1ccc2c(c1)C(=O)c1ccccc1C2=O,238.24,2.47,3,0,43.37,1,Y,0,2.76,2.76,NEUTRAL,0.65,0.14,68000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-methoxyanthracene-9,10-dione"
CHEMBL2333015,1522650,,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO,521.57,2.85,8,3,132.58,10,N,1,1.68,1.21,NEUTRAL,0.35,-0.13,780,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2-amino-3-hydroxy-N-[2-methoxy-5-[(2R,3S)-4-oxo-3-phenyl-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]phenyl]propanamide"
CHEMBL2333016,1522651,,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)Cc1ccc(O)cc1,597.67,4.81,8,3,132.58,11,N,1,3.92,3.36,NEUTRAL,0.21,-0.06,740,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2-amino-3-(4-hydroxyphenyl)-N-[2-methoxy-5-[(2R,3S)-4-oxo-3-phenyl-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]phenyl]propanamide"
CHEMBL2333018,1522653,,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1O,435.48,4.3,6,1,77.46,7,N,0,3.54,3.54,NEUTRAL,0.56,0.15,4,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(3S,4R)-4-(3-hydroxy-4-methoxyphenyl)-3-phenyl-1-(3,4,5-trimethoxyphenyl)azetidin-2-one"
CHEMBL2333019,1522654,,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1OP(=O)(O)O,515.46,4.06,7,2,123.99,9,N,1,2.89,-0.35,ACID,0.32,0.28,71,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"[2-methoxy-5-[(2R,3S)-4-oxo-3-phenyl-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]phenyl] dihydrogen phosphate"
CHEMBL2333021,1522656,,COc1ccc([C@H]2[C@H](c3cccs3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1OP(=O)(O)O,521.48,4.13,8,2,123.99,9,N,1,2.8,-0.44,ACID,0.32,-0.08,20,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"[2-methoxy-5-[(2R,3S)-4-oxo-3-thiophen-2-yl-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]phenyl] dihydrogen phosphate"
CHEMBL2333148,1522784,,N#C/C(=C\C=C\c1ccccc1)C(=O)NCc1ccccc1,288.35,3.47,2,1,52.89,5,N,0,3.62,3.62,NEUTRAL,0.52,-0.66,5400,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2E,4E)-N-benzyl-2-cyano-5-phenylpenta-2,4-dienamide"
CHEMBL2333365,1523004,,Cc1c(C(=O)N2CCOc3ccc(-c4ccc(N)nc4)cc3C2)ccc(S(C)(=O)=O)c1F,455.51,3.22,6,1,102.59,3,N,0,2.36,2.32,NEUTRAL,0.65,-1.23,1370,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"[7-(6-aminopyridin-3-yl)-3,5-dihydro-2H-1,4-benzoxazepin-4-yl]-(3-fluoro-2-methyl-4-methylsulfonylphenyl)methanone"
CHEMBL2333487,1523127,,COc1ccc([C@H]2[C@H](c3ccc(O)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1OP(=O)(O)O,531.45,3.77,8,3,144.22,9,N,1,2.58,-0.66,ACID,0.28,0.43,22,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"[5-[(2R,3S)-3-(4-hydroxyphenyl)-4-oxo-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]-2-methoxyphenyl] dihydrogen phosphate"
CHEMBL2333488,1523128,,COc1ccc([C@H]2[C@H](c3ccc(NC(=O)CN)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,491.54,3.49,7,2,112.35,9,N,0,2.16,1.48,NEUTRAL,0.44,-0.47,91,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-amino-N-[4-[(2R,3S)-2-(4-methoxyphenyl)-4-oxo-1-(3,4,5-trimethoxyphenyl)azetidin-3-yl]phenyl]acetamide"
CHEMBL2333489,1523129,,COc1ccc([C@H]2[C@H](c3ccc(NC(=O)[C@H](C)N)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,505.57,3.88,7,2,112.35,9,N,1,2.73,1.84,NEUTRAL,0.42,-0.43,35,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2-amino-N-[4-[(2R,3S)-2-(4-methoxyphenyl)-4-oxo-1-(3,4,5-trimethoxyphenyl)azetidin-3-yl]phenyl]propanamide"
CHEMBL2333490,1523130,,COc1ccc([C@H]2[C@H](c3ccc(NC(=O)[C@@H](N)CCCCN)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,562.67,3.99,8,3,138.37,13,N,1,2.59,-0.94,BASE,0.21,-0.1,690,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2,6-diamino-N-[4-[(2R,3S)-2-(4-methoxyphenyl)-4-oxo-1-(3,4,5-trimethoxyphenyl)azetidin-3-yl]phenyl]hexanamide"
CHEMBL2333491,1523131,,COc1ccc([C@H]2[C@H](c3ccc(NC(=O)[C@@H](N)Cc4ccccc4)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,581.67,5.1,7,2,112.35,11,N,2,4.38,3.69,NEUTRAL,0.24,-0.26,27,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2-amino-N-[4-[(2R,3S)-2-(4-methoxyphenyl)-4-oxo-1-(3,4,5-trimethoxyphenyl)azetidin-3-yl]phenyl]-3-phenylpropanamide"
CHEMBL2333492,1523132,,COc1ccc([C@H]2[C@H](c3ccc(NC(=O)[C@@H](N)C(C)C)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,533.63,4.51,7,2,112.35,10,N,1,3.61,2.62,NEUTRAL,0.37,-0.29,50,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2-amino-N-[4-[(2R,3S)-2-(4-methoxyphenyl)-4-oxo-1-(3,4,5-trimethoxyphenyl)azetidin-3-yl]phenyl]-3-methylbutanamide"
CHEMBL2333493,1523133,,COc1ccc([C@H]2[C@H](c3ccc(NC(=O)[C@@H](N)CO)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,521.57,2.85,8,3,132.58,10,N,1,1.68,1.21,NEUTRAL,0.35,-0.19,860,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2-amino-3-hydroxy-N-[4-[(2R,3S)-2-(4-methoxyphenyl)-4-oxo-1-(3,4,5-trimethoxyphenyl)azetidin-3-yl]phenyl]propanamide"
CHEMBL2333495,1523135,,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)CN,491.54,3.49,7,2,112.35,9,N,0,2.16,1.48,NEUTRAL,0.44,-0.42,1100,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-amino-N-[2-methoxy-5-[(2R,3S)-4-oxo-3-phenyl-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]phenyl]acetamide"
CHEMBL2333496,1523136,,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@H](C)N,505.57,3.88,7,2,112.35,9,N,1,2.73,1.84,NEUTRAL,0.42,-0.37,760,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2-amino-N-[2-methoxy-5-[(2R,3S)-4-oxo-3-phenyl-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]phenyl]propanamide"
CHEMBL2333497,1523137,,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)Cc1ccccc1,581.67,5.1,7,2,112.35,11,N,2,4.38,3.69,NEUTRAL,0.24,-0.18,1130,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2-amino-N-[2-methoxy-5-[(2R,3S)-4-oxo-3-phenyl-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]phenyl]-3-phenylpropanamide"
CHEMBL2333498,1523138,,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)C(C)C,533.63,4.51,7,2,112.35,10,N,1,3.61,2.62,NEUTRAL,0.37,-0.23,460,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2-amino-N-[2-methoxy-5-[(2R,3S)-4-oxo-3-phenyl-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]phenyl]-3-methylbutanamide"
CHEMBL2333499,1523139,,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CCCCN,562.67,3.99,8,3,138.37,13,N,1,2.48,-0.94,BASE,0.21,-0.04,9800,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"(2S)-2,6-diamino-N-[2-methoxy-5-[(2R,3S)-4-oxo-3-phenyl-1-(3,4,5-trimethoxyphenyl)azetidin-2-yl]phenyl]hexanamide"
